#N	bb	rsqrt	rectangle	recursive	avril

1024 0.133736 0.119327 0.159160 0.470455 0.137313 
2048 0.347510 0.348276 0.452991 1.544598 0.495602 
3072 0.660277 0.694111 0.805871 3.322135 1.093240 
4096 1.117767 1.075629 1.424504 5.797251 1.929782 
5120 1.705434 1.675351 2.128430 8.985688 3.007945 
6144 2.419742 2.411085 3.029173 12.870811 4.321919 
7168 3.266369 3.133594 4.092835 17.466898 5.874185 
8192 4.238408 4.123887 5.305278 22.764616 7.670295 
9216 5.340587 5.253682 6.689975 28.772236 9.700768 
10240 6.571186 6.299658 8.227301 35.481678 11.968419 
11264 7.930693 7.681813 9.929202 42.901146 14.476145 
12288 9.420861 9.203629 11.792677 51.020527 17.229744 
13312 11.035798 10.577400 13.814359 59.850903 20.214672 
14336 12.785614 12.352902 15.998000 69.383087 23.438833 
15360 14.658938 14.265293 18.343792 79.628212 26.899874 
16384 16.665617 15.967176 20.865395 90.582474 30.621208 
17408 18.798010 18.136801 23.520096 102.257103 35.196674 
18432 21.061775 20.442093 26.347561 114.636681 40.823563 
19456 23.451880 22.473045 29.337429 127.704353 46.345757 
20480 25.973089 25.033775 32.489723 141.479553 53.457314 
21504 28.619823 27.730844 35.799809 155.958786 59.736916 
22528 31.401155 30.085283 39.272621 171.189545 67.481339 
23552 34.317005 33.048145 42.918510 187.117859 74.465347 
24576 37.350597 36.141407 46.728615 203.686951 82.896194 
25600 40.516697 38.823204 50.669132 221.118988 91.097610 
26624 43.814629 42.179821 54.795406 239.230667 99.611145 
27648 47.241631 45.661144 59.075596 257.843018 107.818367 
28672 50.795147 48.659000 63.514923 277.219421 117.679993 
29696 54.453716 52.389416 68.096901 297.566711 126.671097 
30720 58.260963 56.611366 72.970367 319.585388 137.025558 
