1024       0.075786      0.021361
2048       0.220016      0.005085
3072       0.477244      0.002109
4096       0.829955      0.001316
5120       1.281946      0.000933
6144       1.834037      0.000461
7168       2.500189      0.000677
8192       3.252871      0.000735
9216       4.104572      -nan
10240       5.055997      -nan
11264       6.131755      -nan
12288       7.284114      0.000536
13312       8.536770      0.000324
14336       9.887858      -nan
15360       11.371975      -nan
16384       12.924421      0.000676
17408       14.575666      0.000268
18432       16.327049      -nan
19456       18.219481      0.000000
20480       20.171942      0.000908
21504       22.223326      0.000497
22528       24.374483      -nan
23552       26.675386      0.000586
24576       29.027098      0.000381
25600       31.478456      -nan
26624       34.029011      0.000459
27648       36.739353      -nan
28672       39.490753      -nan
29696       42.342358      0.000583
30720       45.293156      0.000000
30768       16.767990      0.003160
32768       19.166861      0.003248
8192       1.191965      0.010130
8192       1.191922      0.011503
