#N	bb	sqrtf	newto	rsqrt
1024 0.074059 0.081576 0.075786 0.065679 
2048 0.218539 0.250391 0.220016 0.194083 
3072 0.458121 0.546118 0.477244 0.418603 
4096 0.798969 0.951189 0.829955 0.726295 
5120 1.236753 1.470605 1.281946 1.120486 
6144 1.771363 2.104382 1.834037 1.601565 
7168 2.402826 2.870619 2.500189 2.184149 
8192 3.130002 3.736666 3.252871 2.840203 
9216 3.953924 4.713917 4.104572 3.582804 
10240 4.873768 5.806913 5.055997 4.412548 
11264 5.890743 7.043560 6.131755 5.350865 
12288 7.004457 8.366905 7.284114 6.356631 
13312 8.214083 9.805351 8.536770 7.448822 
14336 9.520215 11.359405 9.887858 8.627310 
15360 10.922218 13.063473 11.371975 9.922415 
16384 12.422076 14.847588 12.924421 11.275712 
17408 14.017203 16.745058 14.575666 12.716621 
18432 15.708850 18.757448 16.327049 14.244026 
19456 17.496929 20.931440 18.219481 15.895333 
20480 19.381550 23.174543 20.171942 17.598345 
21504 21.362328 25.531946 22.223326 19.388313 
22528 23.439770 28.001848 24.374483 21.264009 
23552 25.613350 30.648470 26.675386 23.278635 
24576 27.885900 33.349262 29.027098 25.322214 
25600 30.248936 36.166763 31.478456 27.460894 
26624 32.712006 39.096893 34.029011 29.685497 
27648 35.271366 42.210533 36.739353 32.049583 
28672 37.926651 45.372391 39.490753 34.451488 
29696 40.679520 48.649342 42.342358 36.936726 
30720 43.527290 52.038872 45.293156 39.510941 
