#N	bb	rsqrt	rectangle	recursive	avril

1024 0.139820 0.119893 0.114228 0.213271 0.132112 
2048 0.448168 0.395645 0.396389 0.539369 0.477858 
3072 0.984965 0.872023 0.863430 1.056457 1.044844 
4096 1.788096 1.579185 1.517517 1.796580 1.839132 
5120 2.844934 2.506891 2.364927 2.722697 2.860920 
6144 4.138984 3.643470 3.533119 3.948175 4.106526 
7168 5.661621 4.995638 4.977035 5.449725 5.579915 
8192 7.417947 6.543658 6.611239 7.165874 7.284624 
9216 9.403589 8.295212 8.392491 9.067101 9.215618 
10240 11.625732 10.256835 10.364179 11.173031 11.363879 
11264 14.076410 12.439117 12.539196 13.495675 13.741863 
12288 16.761591 14.813411 14.922649 16.038433 16.370600 
13312 19.673681 17.388491 17.506268 18.799757 19.684486 
14336 22.825710 20.176264 20.304947 21.785450 23.486296 
15360 26.202599 23.189123 23.302126 24.988350 29.375053 
16384 29.815346 26.389223 26.513365 28.415718 35.500683 
17408 33.653423 29.786980 29.922920 32.056839 41.637177 
18432 37.734264 33.401817 33.551346 35.929432 49.626007 
19456 42.037472 37.246510 37.376732 40.016472 56.553314 
20480 46.578869 41.270721 41.415619 44.325863 65.373878 
21504 51.344780 45.494640 45.655540 48.856030 73.415764 
22528 56.348316 49.929462 50.108368 53.608166 82.735344 
23552 61.576820 54.606709 54.764698 58.597504 92.261780 
24576 67.051071 59.460693 59.630505 63.787140 101.757996 
25600 72.744164 64.507355 64.698982 69.196472 111.299622 
26624 78.683128 69.773788 69.981079 74.844383 122.681511 
27648 84.840538 75.283684 75.468338 80.693230 132.833878 
28672 91.235222 80.956146 81.160881 86.774597 144.995590 
29696 97.862030 86.844086 87.062965 93.104607 156.378845 
30720 104.738571 92.939949 93.190079 99.650658 168.996918 
