#N	bb	rsqrt	rectangle	recursive	avril

1024 0.189673 0.182034 0.212215 0.527701 0.184264 
2048 0.705921 0.702067 0.860515 1.761628 0.695502 
3072 1.601679 1.620402 1.719044 3.816400 1.600359 
4096 2.760504 2.758905 2.984434 6.665980 2.886088 
5120 4.295253 4.310653 4.662091 10.340772 4.594809 
6144 6.203753 6.277052 6.616381 14.818725 6.712906 
7168 8.484034 8.478214 9.004403 20.118902 9.429251 
8192 11.167184 11.222529 11.803812 26.233559 12.481510 
9216 14.183807 14.306241 14.867714 33.157204 16.839214 
10240 17.647919 17.642717 18.383074 40.901283 21.251043 
11264 21.458685 21.523500 22.241484 49.465904 27.635647 
12288 25.581682 25.757750 26.460732 58.830376 34.378265 
13312 30.114702 30.095592 31.160723 69.023521 43.423641 
14336 34.989384 35.082005 36.308971 80.021004 52.402905 
15360 40.254826 40.472095 41.781952 91.847061 63.893257 
16384 45.911510 45.898014 47.711639 104.499718 75.115540 
17408 51.957123 52.088287 54.019428 117.959938 89.208382 
18432 58.294361 58.573887 60.580883 132.222107 102.284225 
19456 65.014252 65.013542 67.586380 147.287430 117.440918 
20480 72.147476 72.306320 74.919449 163.223236 132.296951 
21504 79.580826 79.912773 82.570457 180.018219 148.921097 
22528 87.385399 87.398865 90.606804 197.677246 165.351639 
23552 95.495895 95.693886 98.966965 215.999466 183.899261 
24576 104.075378 104.470856 107.781647 234.969543 201.382126 
25600 113.159950 113.190697 117.157585 255.612183 222.502502 
26624 122.437820 122.678719 126.708771 276.981567 241.752289 
27648 132.171509 132.633362 136.692261 299.230530 263.266937 
28672 142.214539 142.267639 147.024078 322.650787 284.203217 
29696 152.535614 152.815720 157.658569 347.067383 307.274475 
30720 163.230530 164.127563 168.718552 371.489502 329.573761 
