#N	bb	rsqrt	rectangle	recursive	avril

1024 0.074059 0.065679 0.052833 0.142789 0.082752 
2048 0.218539 0.194083 0.162280 0.313305 0.281077 
3072 0.458121 0.418603 0.347830 0.587862 0.611255 
4096 0.798969 0.726295 0.599634 0.968214 1.073204 
5120 1.236753 1.120486 0.927465 1.456156 1.671596 
6144 1.771363 1.601565 1.327982 2.051257 2.397888 
7168 2.402826 2.184149 1.801270 2.754537 3.256276 
8192 3.130002 2.840203 2.347283 3.565754 4.253264 
9216 3.953924 3.582804 2.966057 4.485372 5.375432 
10240 4.873768 4.412548 3.657521 5.514396 6.629514 
11264 5.890743 5.350865 4.421495 6.648963 8.016012 
12288 7.004457 6.356631 5.258518 7.894508 9.544527 
13312 8.214083 7.448822 6.168252 9.247470 11.194871 
14336 9.520215 8.627310 7.150439 10.707955 12.976714 
15360 10.922218 9.922415 8.205332 12.280347 14.889712 
16384 12.422076 11.275712 9.333072 13.956753 16.950548 
17408 14.017203 12.716621 10.533608 15.737658 19.128782 
18432 15.708850 14.244026 11.806620 17.633064 21.438366 
19456 17.496929 15.895333 13.152471 19.633747 23.879646 
20480 19.381550 17.598345 14.571514 21.746593 26.472052 
21504 21.362328 19.388313 16.062689 23.964048 29.177258 
22528 23.439770 21.264009 17.626682 26.289532 32.014427 
23552 25.613350 23.278635 19.263540 28.723543 34.983372 
24576 27.885900 25.322214 20.973122 31.263636 38.107994 
25600 30.248936 27.460894 22.755030 33.917572 41.339893 
26624 32.712006 29.685497 24.609941 36.679642 44.705883 
27648 35.271366 32.049583 26.538191 39.541443 48.202461 
28672 37.926651 34.451488 28.538179 42.521549 51.858032 
29696 40.679520 36.936726 30.611465 45.608978 55.619541 
30720 43.527290 39.510941 32.757221 48.795658 59.511208 
