#N	bb	rsqrt	rectangle	recursive	avril

1024 0.148610 0.130160 0.129384 0.229738 0.144608 
2048 0.545118 0.461407 0.457450 0.604985 0.525084 
3072 1.195500 1.020957 1.002637 1.211811 1.159428 
4096 2.146265 1.840634 1.766246 2.069187 2.046911 
5120 3.381241 2.904667 2.772230 3.151279 3.190827 
6144 4.882136 4.205729 4.162858 4.547445 4.585044 
7168 6.646122 5.752956 5.803334 6.218060 6.231877 
8192 8.676332 7.526411 7.628943 8.123025 8.138666 
9216 10.970196 9.534730 9.662202 10.252417 10.292809 
10240 13.531855 11.781351 11.927296 12.628366 12.699130 
11264 16.353619 14.279257 14.425664 15.255732 15.358432 
12288 19.445951 17.000231 17.167709 18.136986 18.277739 
13312 22.798372 19.951120 20.140732 21.253698 21.736849 
14336 26.420843 23.144093 23.359123 24.629169 25.615383 
15360 30.303291 26.595493 26.809515 28.253628 31.184288 
16384 34.454926 30.260473 30.502773 32.132919 37.345535 
17408 38.866566 34.155655 34.425541 36.261101 43.687916 
18432 43.551582 38.296825 38.600044 40.633190 51.458771 
19456 48.496464 42.699081 43.002911 45.252842 58.624500 
20480 53.707115 47.311356 47.647911 50.129723 67.230232 
21504 59.176998 52.151634 52.523766 55.250294 75.417915 
22528 64.916527 57.233101 57.645992 60.630058 84.640007 
23552 70.919037 62.587452 62.999969 66.250626 94.111526 
24576 77.189316 68.140442 68.597580 72.124725 103.691505 
25600 83.717171 73.925026 74.425911 78.243752 113.441658 
26624 90.532951 79.967133 80.511589 84.625587 124.639900 
27648 97.600021 86.276215 86.822823 91.246933 135.042053 
28672 104.933899 92.779030 93.378387 98.113762 146.970169 
29696 112.533165 99.519188 100.167862 105.243279 158.489792 
30720 120.411484 106.506966 107.211296 112.619362 171.001862 
